id_ppt,id_img,order,ppt,image,trial,x,y,duration,train
15,5,3,PP25,1092,8,368.270486935867,277.986286371734,0.842,TRUE
15,5,4,PP25,1092,8,352.162283861671,294.333123198847,1.388,TRUE
15,5,5,PP25,1092,8,353.904001798561,302.766341614209,1.112,TRUE
15,5,6,PP25,1092,8,326.822331460674,234.42108497191,0.356,TRUE
15,5,7,PP25,1092,8,322.606907894737,189.199989720395,0.608,TRUE
15,5,8,PP25,1092,8,655.265625,151.5673828125,0.16,TRUE
15,5,9,PP25,1092,8,412.107358003442,246.70590845525,1.162,TRUE
15,6,1,PP25,1099,12,335.082236842105,247.424958881579,0.228,TRUE
15,6,2,PP25,1099,12,224.155505952381,168.613978794643,0.336,TRUE
15,6,3,PP25,1099,12,178.416895604396,144.037603021978,0.364,TRUE
15,6,4,PP25,1099,12,143.150845864662,132.148731203007,0.532,TRUE
15,6,5,PP25,1099,12,393.639705882353,255.412741268382,0.272,TRUE
15,6,6,PP25,1099,12,352.363636363636,273.838778409091,0.33,TRUE
15,6,7,PP25,1099,12,206.762295081967,147.829149590164,0.244,TRUE
15,6,8,PP25,1099,12,181.61858974359,157.446915064103,0.234,TRUE
15,6,9,PP25,1099,12,154.5875,139.412109375,0.2,TRUE
15,6,10,PP25,1099,12,134.872572815534,134.381636832524,0.412,TRUE
15,6,11,PP25,1099,12,413.171948356807,275.971060739437,0.426,TRUE
15,6,12,PP25,1099,12,371.3875,267.966796875,0.2,TRUE
15,6,13,PP25,1099,12,201.454015544041,152.249635686529,0.386,TRUE
15,6,14,PP25,1099,12,147.464285714286,147.821269132653,0.49,TRUE
15,6,15,PP25,1099,12,392.376207729469,374.272531702898,0.414,TRUE
15,6,16,PP25,1099,12,650.829613095238,530.744280133928,0.336,TRUE
15,6,17,PP25,1099,12,274.306818181818,207.501775568182,0.22,TRUE
15,6,18,PP25,1099,12,159.938322368421,184.200246710527,0.304,TRUE
15,6,19,PP25,1099,12,151.757172131148,160.071401127049,0.244,TRUE
15,6,20,PP25,1099,12,127.906441717791,145.945168711656,0.326,TRUE
15,6,21,PP25,1099,12,405.138888888889,428.661548132184,0.522,TRUE
15,7,1,PP25,1211,11,309.140384615384,230.298677884615,0.65,TRUE
15,7,2,PP25,1211,11,361.715604026846,394.925807466443,0.298,TRUE
15,7,3,PP25,1211,11,325.935650887574,213.517011834319,0.338,TRUE
15,7,4,PP25,1211,11,291.065188172043,191.015625,0.372,TRUE
15,7,5,PP25,1211,11,277.619535519126,195.917648565574,0.366,TRUE
15,7,6,PP25,1211,11,596.813118811881,330.225092821782,0.404,TRUE
15,7,7,PP25,1211,11,399.129098360656,230.374295594262,0.244,TRUE
15,7,8,PP25,1211,11,288.415625,230.8828125,0.4,TRUE
15,7,9,PP25,1211,11,281.012168141593,195.28830199115,0.226,TRUE
15,7,10,PP25,1211,11,276.15625,185.39306640625,0.48,TRUE
15,7,11,PP25,1211,11,728.133640552994,494.012816820277,0.434,TRUE
15,7,12,PP25,1211,11,345.315040650406,330.302019817073,0.246,TRUE
15,7,13,PP25,1211,11,294.073426573427,211.044034090909,0.286,TRUE
15,7,14,PP25,1211,11,278.190559440559,185.69301791958,0.572,TRUE
15,7,15,PP25,1211,11,490.027654867257,211.741219579646,0.226,TRUE
15,7,16,PP25,1211,11,493.481012658228,227.180577531646,0.158,TRUE
15,7,17,PP25,1211,11,559.725609756097,397.229897103659,0.164,TRUE
15,7,18,PP25,1211,11,556.919642857143,390.71269132653,0.196,TRUE
15,7,19,PP25,1211,11,305.341435185185,203.426106770834,0.432,TRUE
15,9,1,PP25,1266,16,289.240819209039,267.50529661017,0.354,TRUE
15,9,2,PP25,1266,16,608.09809602649,226.447382036424,0.604,TRUE
15,9,3,PP25,1266,16,255.055,170.8359375,0.25,TRUE
15,9,4,PP25,1266,16,595.44,184.33125,0.25,TRUE
15,9,5,PP25,1266,16,536.396660649819,216.928023465704,0.554,TRUE
15,9,6,PP25,1266,16,273.853365384616,211.144831730769,0.52,TRUE
15,9,7,PP25,1266,16,616.832191780822,188.083261986301,0.438,TRUE
15,9,8,PP25,1266,16,483.657407407407,257.736545138889,0.216,TRUE
15,9,9,PP25,1266,16,283.935185185185,220.650421626984,0.378,TRUE
15,9,10,PP25,1266,16,246.158573141487,239.242356115108,0.834,TRUE
15,9,11,PP25,1266,16,514.657939189189,158.218961148649,0.296,TRUE
15,16,1,PP25,1416,4,377.175099206349,200.87658110119,0.504,TRUE
15,16,2,PP25,1416,4,355.379464285714,184.554617745536,0.224,TRUE
15,16,3,PP25,1416,4,377.734073359073,121.144274855213,0.518,TRUE
15,16,4,PP25,1416,4,617.617924528302,196.996609669811,0.53,TRUE
15,16,5,PP25,1416,4,572.251082251082,225.043120941558,0.462,TRUE
15,16,6,PP25,1416,4,316.496913580247,194.326895254629,0.648,TRUE
15,16,7,PP25,1416,4,283.829113924051,565.303599683544,0.158,TRUE
15,16,8,PP25,1416,4,475.328824626866,427.53760494403,0.536,TRUE
15,16,9,PP25,1416,4,402.704802259887,541.270524364407,0.354,TRUE
15,16,10,PP25,1416,4,227.96875,263.997920866935,0.248,TRUE
15,16,11,PP25,1416,4,132.116596638656,251.741399684874,0.238,TRUE
15,16,12,PP25,1416,4,502.129629629629,179.327256944445,0.27,TRUE
15,16,13,PP25,1416,4,520.421348314607,263.360252808988,0.534,TRUE
15,16,14,PP25,1416,4,426.666666666667,454.61667239011,0.546,TRUE
15,16,15,PP25,1416,4,331.060323383084,256.489039179104,0.402,TRUE
15,17,1,PP25,1488,1,180.503393665158,159.417420814479,0.442,TRUE
15,17,2,PP25,1488,1,223.059752747252,177.10443853022,0.364,TRUE
15,17,3,PP25,1488,1,486.701086956522,363.021399456521,0.23,TRUE
15,17,4,PP25,1488,1,715.870098039219,404.668351715686,0.306,TRUE
15,17,5,PP25,1488,1,270.174563591023,246.497038653367,0.802,TRUE
